building_levels_tables	11
level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	has_aqueduct	can_be_damaged	requires_primary_slot_in_group
vik_round_tower_1	vik_round_tower	0	6	442	50		0	false	0	0	0	0	true	false				15640	true	vik_round_tower	military	true	0	0	false	true	
vik_round_tower_2	vik_round_tower	1	6	442	75		0	false	0	0	0	0	false	false				15650	true	vik_round_tower	military	true	0	0	false	true	
vik_round_tower_3	vik_round_tower	2	6	442	100		0	false	0	0	0	0	false	false				15659	true	vik_round_tower	military	true	0	0	false	true	
vik_church_crafts_1	vik_church_crafts	0	6	520	0		0	false	0	0	0	0	true	false				17230	true	vik_church_crafts	workshop_stonemasonry	true	0	0	false	true	
vik_church_crafts_2	vik_church_crafts	1	3	220	0		0	false	0	0	0	0	false	false				17233	true	vik_church_crafts	workshop_stonemasonry	true	0	0	false	true	
vik_church_crafts_3	vik_church_crafts	2	4	420	0		0	false	0	0	0	0	false	false				17238	true	vik_church_crafts	workshop_stonemasonry	true	0	0	false	true	
vik_bullaun_1	vik_bullaun	0	7	675	70		0	false	0	0	0	0	true	false				17202	true	vik_bullaun	military	true	0	0	false	true	
vik_bullaun_2	vik_bullaun	1	4	285	140		0	false	0	0	0	0	false	false				17212	true	vik_bullaun	military	true	0	0	false	true	
vik_bullaun_3	vik_bullaun	2	5	395	190		0	false	0	0	0	0	false	false				17222	true	vik_bullaun	military	true	0	0	false	true	
vik_wax_1	vik_wax	0	9	600	0		0	false	0	0	0	0	true	false				17566	true	vik_wax	church	false	0	0	false	true	
vik_wax_2	vik_wax	1	6	300	0		0	false	0	0	0	0	false	false				17570	true	vik_wax	church	false	0	0	false	true	
vik_wax_3	vik_wax	2	7	400	0		0	false	0	0	0	0	false	false				17577	true	vik_wax	church	false	0	0	false	true	
vik_scribes_1	vik_scribes	0	8	800	0		0	false	0	0	0	0	true	false				15883	true	vik_bonus	law_court	true	0	0	false	true	
vik_scribes_2	vik_scribes	1	6	500	0		0	false	0	0	0	0	false	false				15888	true	vik_bonus	law_court	true	0	0	false	true	
vik_scribes_3	vik_scribes	2	6	600	0		0	false	0	0	0	0	false	false				15895	true	vik_bonus	law_court	true	0	0	false	true	
vik_lead_1	vik_lead	0	9	670	0		0	false	0	0	0	0	true	false				16099	true	vik_resource	mine	true	0	0	false	true	
vik_lead_2	vik_lead	1	6	420	0		0	false	0	0	0	0	false	false				16106	true	vik_resource	mine	true	0	0	false	true	
vik_lead_3	vik_lead	2	7	465	0		0	false	0	0	0	0	false	false				16113	true	vik_resource	mine	true	0	0	false	true	
vik_lead_4	vik_lead	3	99	9999	0		0	false	0	0	0	0	false	false				16117	true	vik_resource	mine	true	0	0	false	true	
vik_lead_5	vik_lead	4	99	9999	0		0	false	0	0	0	0	false	false				16118	true	vik_resource	mine	true	0	0	false	true	
vik_lead_b_2	vik_lead	1	99	9999	0		0	false	0	0	0	0	false	false				17445	true	vik_resource	mine	true	0	0	false	true	
vik_lead_b_3	vik_lead	2	99	9999	0		0	false	0	0	0	0	false	false				17448	true	vik_resource	mine	true	0	0	false	true	
vik_lead_b_4	vik_lead	3	99	9999	0		0	false	0	0	0	0	false	false				17031	true	vik_resource	mine	true	0	0	false	true	
vik_lead_b_5	vik_lead	4	99	9999	0		0	false	0	0	0	0	false	false				17033	true	vik_resource	mine	true	0	0	false	true	
vik_library_1	vik_library	0	9	1300	0		0	false	0	0	0	0	true	false				14667	true	vik_agent	law_court	true	0	0	false	true	
vik_library_2	vik_library	1	6	600	0		0	false	0	0	0	0	false	false				14672	true	vik_agent	law_court	true	0	0	false	true	
vik_library_3	vik_library	2	7	700	0		0	false	0	0	0	0	false	false				14682	true	vik_agent	law_court	true	0	0	false	true	
